City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,mpanda,-6.3655,31.0409,20.09,42,37,0.97,TZ,1689791488
263,shimoda,34.6667,138.95,25.86,91,95,5.11,JP,1689791468
264,barranca,-10.75,-77.7667,21.6,69,3,4.09,PE,1689791489
265,sekong,-6.3996,106.0252,22.15,88,14,0.66,ID,1689791489
266,barra de santo antonio,-9.4047,-35.5072,26.6,78,45,5.53,BR,1689791490
267,neiafu,-18.65,-173.9833,23.38,64,40,6.69,TO,1689791490
268,valentin gomez farias,28.2167,-106.5833,33.23,14,0,4.16,MX,1689791073
269,laminusa,5.5549,120.9136,27.59,73,97,0.93,PH,1689791491
270,dzhangala,49.2167,50.3333,22.4,69,100,1.31,KZ,1689791491
271,aden,12.7794,45.0367,31.52,59,24,1.52,YE,1689791492
272,santo antonio,-6.3106,-35.4789,27.87,54,6,7.87,BR,1689791492
273,kupang,-10.1667,123.5833,24.03,79,28,3.83,ID,1689791054
274,lebu,-37.6167,-73.65,12.33,97,100,5.73,CL,1689791026
275,port saint john's,-31.6229,29.5448,14.63,62,28,8.19,ZA,1689791115
276,yarmouth,41.7057,-70.2286,30.34,76,20,5.14,US,1689791060
277,pontianak,-0.0333,109.3333,22.99,100,75,1.03,ID,1689791342
278,copiapo,-27.3667,-70.3333,16.83,9,100,0.95,CL,1689791342
279,shahrud,36.4182,54.9763,22.16,56,54,3.89,IR,1689791495
280,chipinge,-20.1883,32.6236,12.46,52,0,1.67,ZW,1689791495
281,holualoa,19.6228,-155.9522,25.91,78,75,3.6,US,1689790959
282,uturoa,-16.7333,-151.4333,26.24,79,66,7.8,PF,1689791270
283,puerto madero,14.7208,-92.4215,33.11,70,40,0.0,MX,1689791497
284,san antonio de pale,-1.4014,5.6325,23.79,86,100,5.08,GQ,1689791193
285,torquay,50.4638,-3.5143,20.95,63,1,2.68,GB,1689791498
286,pacocha,-17.5833,-71.3333,19.08,73,100,5.14,PE,1689791498
287,jalingo,8.8833,11.3667,27.76,68,99,2.97,NG,1689791499
288,richards bay,-28.783,32.0377,17.78,64,94,8.33,ZA,1689791067
289,el granada,37.5027,-122.4694,27.72,77,100,5.14,US,1689791327
290,la'ie,21.6477,-157.9253,26.98,83,97,4.92,US,1689791029
291,manggar,-2.8833,108.2667,26.19,86,100,4.89,ID,1689791501
292,beatrice,40.2681,-96.747,27.05,78,40,3.09,US,1689791501
293,ola,59.5833,151.2833,14.73,76,23,1.02,RU,1689791063
294,nar'yan-mar,67.6713,53.087,17.53,73,20,5.13,RU,1689791014
295,malindi,-3.2175,40.1191,25.09,73,20,4.12,KE,1689791502
296,torghay,49.6339,63.4981,21.75,55,6,4.88,KZ,1689791503
297,talnakh,69.4865,88.3972,9.94,68,34,3.34,RU,1689791052
298,n'zeto,-7.2312,12.8666,21.33,86,4,3.55,AO,1689791507
299,tura,25.5198,90.2201,25.59,94,87,2.11,IN,1689791118
300,tekeli,44.83,78.8239,21.85,42,8,3.61,KZ,1689791508
301,arvayheer,46.2639,102.775,12.71,81,100,1.24,MN,1689791508
302,waris aliganj,25.0167,85.6333,31.94,62,93,3.89,IN,1689791509
303,fortuna,40.5982,-124.1573,15.37,97,100,4.12,US,1689790872
304,new norfolk,-42.7826,147.0587,7.18,80,95,1.29,AU,1689791199
305,esmeraldas,-19.7625,-44.3139,27.58,31,100,2.62,BR,1689791477
306,xuddur,4.1213,43.8894,26.31,50,100,8.87,SO,1689791511
307,ulsteinvik,62.3432,5.8487,13.75,90,100,3.13,NO,1689791512
308,kamuli,0.9472,33.1197,18.82,66,48,1.41,UG,1689791512
309,stephenville,32.2207,-98.2023,39.87,22,0,3.6,US,1689791263
310,kalaleh,37.3807,55.4916,26.78,57,75,3.09,IR,1689791513
311,tolanaro,-25.0319,46.9987,22.04,83,20,7.2,MG,1689791029
